Date,electricity_demand
08-06-2019 17:00,197.3008589
10-04-2021 05:00,255.2556266
27-07-2019 18:00,174.8278464
05-01-2022 17:00,188.0516527
03-06-2023 04:00,254.8680785
31-08-2020 19:00,178.8622574
15-02-2019 14:00,208.7501719
20-02-2019 11:00,210.6175681
27-08-2022 05:00,228.5021497
15-11-2019 05:00,210.2554627
04-01-2022 18:00,189.9135558
26-07-2021 21:00,205.6881972
05-10-2019 15:00,148.3838547
14-09-2019 01:00,192.8011714
01-06-2022 17:00,201.9539545
16-01-2020 17:00,201.518986
17-02-2019 06:00,229.3659937
18-07-2020 12:00,225.882453
18-10-2022 17:00,199.8873786
23-12-2023 02:00,228.6252969
16-02-2020 19:00,202.7787321
03-04-2021 09:00,250.8522408
06-03-2022 09:00,248.8317013
28-10-2023 11:00,209.3470246
15-12-2020 23:00,202.2549325
15-05-2023 00:00,234.4954926
06-02-2023 11:00,224.9201144
27-01-2019 08:00,222.8965187
14-02-2019 20:00,178.3421473
14-04-2021 00:00,214.9498488
31-07-2021 03:00,225.725693
10-06-2020 12:00,224.1935989
17-07-2019 02:00,197.3934091
21-09-2023 10:00,217.7275353
02-11-2022 06:00,230.7644102
24-01-2022 06:00,245.9796153
22-04-2020 07:00,247.216247
23-06-2022 14:00,210.6841187
02-03-2019 01:00,230.9094331
07-11-2023 23:00,218.874519
19-02-2021 07:00,228.0607929
08-03-2023 14:00,235.2775204
07-02-2023 04:00,263.2150347
18-03-2021 19:00,208.7839057
01-04-2019 11:00,220.9029376
12-10-2019 10:00,184.9978762
19-07-2020 05:00,217.3175336
07-05-2022 01:00,233.7635239
21-12-2020 19:00,205.6856704
21-11-2021 06:00,218.747699
07-10-2022 19:00,206.949357
16-08-2022 16:00,189.5860446
01-11-2019 05:00,206.2857305
11-09-2023 07:00,236.8730101
12-08-2022 21:00,185.2597328
08-01-2021 14:00,210.0584367
20-11-2019 19:00,174.228292
23-05-2023 16:00,224.0094408
11-02-2019 09:00,217.9265924
15-07-2022 00:00,211.5907192
08-10-2020 20:00,174.5547592
04-01-2020 05:00,212.9036192
09-10-2019 02:00,190.2229545
28-10-2023 22:00,204.2990134
07-09-2019 21:00,164.0254505
05-11-2019 14:00,178.9927917
13-09-2022 18:00,187.289214
05-04-2022 03:00,247.6621004
18-11-2023 18:00,186.064861
30-05-2022 16:00,222.717335
17-06-2020 00:00,229.0381064
14-05-2020 04:00,223.1714537
30-10-2021 01:00,207.3443285
06-10-2023 14:00,195.6582836
09-11-2021 15:00,209.1987454
01-09-2023 03:00,223.3795993
11-12-2019 15:00,197.0351262
16-12-2023 21:00,212.5138919
06-10-2019 16:00,154.7647457
28-06-2019 08:00,242.0856548
08-10-2023 06:00,233.3134725
08-03-2020 12:00,244.4115126
26-12-2022 02:00,219.2956542
18-11-2023 09:00,239.3399269
30-12-2022 00:00,222.3977915
10-04-2019 18:00,195.6346496
28-07-2022 13:00,220.2337774
24-02-2019 09:00,218.2239082
28-03-2019 09:00,232.4942851
23-12-2022 13:00,227.6977091
16-04-2023 14:00,224.4144137
22-12-2023 15:00,245.6191724
20-07-2020 21:00,198.1872098
01-05-2023 05:00,266.536505
24-12-2021 21:00,199.7386793
08-08-2022 13:00,199.4376719
18-03-2020 10:00,244.6941266
23-02-2023 01:00,231.2731767
25-12-2020 12:00,227.8335093
03-06-2023 06:00,263.3891756
19-01-2023 08:00,251.9169166
22-11-2022 11:00,219.7913138
04-02-2022 10:00,246.044941
03-07-2019 20:00,174.7281408
25-04-2022 14:00,234.5714454
28-07-2023 14:00,210.7607426
17-08-2021 18:00,172.745361
19-04-2020 10:00,240.5297876
29-11-2021 04:00,236.6241596
26-03-2020 20:00,195.117977
20-02-2020 12:00,226.8205076
30-10-2019 06:00,219.0191966
17-06-2022 17:00,200.1976247
13-10-2020 13:00,187.1162286
02-09-2020 08:00,238.2108168
06-02-2023 18:00,225.8465283
13-04-2023 03:00,253.1949115
28-11-2023 08:00,233.4905178
21-12-2023 22:00,216.0122351
31-12-2023 12:00,203.8999832
06-03-2021 10:00,222.1874853
15-04-2021 06:00,241.2362704
06-04-2020 13:00,206.7517388
04-08-2021 12:00,216.8247324
23-01-2023 17:00,202.7583959
14-03-2019 07:00,218.6089907
07-04-2023 17:00,228.1293188
20-11-2020 04:00,218.0383767
11-06-2019 06:00,213.9312592
14-05-2020 06:00,213.9113317
12-02-2019 08:00,221.6185075
13-09-2022 19:00,182.1962903
28-04-2023 15:00,214.8220741
09-08-2023 13:00,215.2059371
11-12-2021 03:00,232.1950659
18-07-2023 08:00,228.4950666
13-02-2019 09:00,220.571724
18-08-2020 06:00,224.5948318
14-02-2023 01:00,250.0410978
29-08-2020 20:00,168.3489332
15-04-2023 19:00,214.9900097
07-10-2019 02:00,188.3734963
27-09-2022 23:00,224.7412539
17-04-2020 03:00,239.7007833
19-12-2023 16:00,207.3805271
08-02-2021 12:00,229.0288631
24-11-2020 19:00,194.9707695
07-10-2022 05:00,218.7101403
11-07-2021 05:00,219.020926
24-02-2020 03:00,218.8052502
29-11-2022 03:00,228.8861063
29-10-2023 07:00,223.0850262
20-02-2020 16:00,217.7927125
30-11-2020 21:00,184.9503625
20-09-2023 09:00,244.2781485
08-12-2020 20:00,191.3389509
25-06-2021 01:00,214.9148948
03-05-2020 20:00,212.7534282
11-12-2023 15:00,219.6549283
10-06-2022 23:00,230.409419
09-12-2020 16:00,182.5584694
27-10-2019 10:00,180.7718438
24-02-2022 02:00,231.9370274
21-03-2019 14:00,223.3522796
19-04-2022 00:00,218.383117
20-04-2019 07:00,249.4441641
12-05-2020 18:00,205.2405235
01-06-2020 00:00,207.424875
19-10-2021 03:00,224.726439
27-04-2022 09:00,246.4427649
28-06-2023 13:00,217.4436372
18-11-2020 11:00,216.7979616
02-05-2023 15:00,206.9779967
20-03-2019 00:00,212.8689011
12-10-2021 18:00,166.2749256
30-08-2019 14:00,186.2555597
13-04-2019 04:00,233.0215012
01-12-2019 15:00,198.9685587
18-11-2021 23:00,210.1311336
16-10-2022 17:00,185.5637825
01-10-2023 10:00,231.899788
13-06-2020 06:00,223.065994
02-07-2019 02:00,195.4402579
22-02-2020 13:00,219.5888745
21-02-2020 05:00,230.153008
02-03-2022 06:00,269.8196391
29-07-2019 16:00,186.5956642
16-08-2022 18:00,173.2955225
05-11-2020 02:00,214.6969078
25-07-2021 07:00,227.8180231
05-08-2019 04:00,
22-06-2019 21:00,193.575561
28-01-2021 12:00,214.641141
31-01-2022 21:00,186.3745004
04-08-2021 18:00,196.0302718
12-12-2023 14:00,235.1469223
19-05-2023 03:00,238.1466232
05-11-2021 17:00,178.0795939
16-12-2021 00:00,217.1292539
20-12-2021 14:00,201.1018239
23-03-2022 22:00,221.8997487
04-10-2021 10:00,195.2406771
25-03-2020 03:00,237.183282
22-09-2019 03:00,203.200245
21-06-2019 06:00,236.9703913
29-06-2022 12:00,211.5296713
16-02-2021 00:00,225.2266728
07-08-2022 17:00,177.010245
15-11-2022 01:00,210.516692
17-11-2022 00:00,212.1383793
03-12-2020 10:00,211.8919132
06-08-2019 14:00,182.7197206
11-01-2022 10:00,214.1404717
12-10-2019 23:00,182.2057248
22-11-2022 17:00,210.4042121
30-06-2020 18:00,179.8898663
02-01-2019 05:00,216.9377558
01-02-2019 16:00,185.2946225
27-05-2022 19:00,216.2228199
28-02-2023 23:00,238.2018753
01-04-2019 02:00,231.4621233
18-04-2022 00:00,227.0522305
23-04-2020 04:00,250.7522082
09-08-2021 13:00,217.5897345
28-11-2021 16:00,193.9766387
26-10-2020 12:00,188.0974978
25-02-2020 19:00,194.0854675
14-06-2021 14:00,210.9550926
23-10-2022 22:00,201.1026742
18-09-2021 14:00,175.7704457
25-08-2023 10:00,219.7270529
15-12-2023 02:00,234.758294
12-05-2022 07:00,267.7188004
26-02-2023 13:00,224.8733026
09-09-2019 04:00,187.8306904
31-03-2023 18:00,228.3617747
29-03-2023 06:00,264.3474518
29-07-2019 04:00,213.3393818
22-06-2022 09:00,212.6442628
17-01-2023 05:00,257.7689925
28-10-2021 22:00,193.8951339
20-07-2022 08:00,220.5903517
11-09-2023 21:00,210.1063175
02-05-2023 22:00,225.2427434
09-04-2022 04:00,258.5695351
25-01-2022 15:00,211.555366
05-04-2022 13:00,246.2518514
07-02-2020 23:00,214.4555144
05-07-2020 19:00,168.4363893
26-11-2023 05:00,239.6593799
15-02-2020 11:00,221.0321859
12-03-2023 06:00,271.9365689
19-05-2019 04:00,229.2631016
13-05-2023 01:00,253.9124621
30-08-2023 21:00,199.420152
08-02-2023 03:00,235.661652
19-12-2021 23:00,215.9084777
19-01-2019 09:00,218.9361293
30-05-2019 02:00,212.2565932
24-09-2019 00:00,193.865982
26-08-2022 19:00,181.9414504
14-11-2023 13:00,212.5040007
